record_id,review_route,route_reason,audit_flag,required_humans
APP_MOCK_001,SINGLE_VISIBLE_REVIEW,LLM_CONSENSUS_NOT_AUDIT,false,1
APP_MOCK_002,DOUBLE_BLIND_AUDIT,LLM_CONSENSUS_RANDOM_AUDIT,true,2
APP_MOCK_003,DOUBLE_BLIND,LLM_DISAGREEMENT,false,2
APP_MOCK_004,SINGLE_VISIBLE_REVIEW,LLM_CONSENSUS_NOT_AUDIT,false,1
APP_MOCK_005,DOUBLE_BLIND,LLM_UNCERTAIN,false,2
APP_MOCK_006,SINGLE_VISIBLE_REVIEW,LLM_CONSENSUS_NOT_AUDIT,false,1
APP_MOCK_007,DOUBLE_BLIND,LLM_DISAGREEMENT,false,2
APP_MOCK_008,DOUBLE_BLIND,LLM_INVALID,false,2
APP_MOCK_009,DOUBLE_BLIND_AUDIT,LLM_CONSENSUS_RANDOM_AUDIT,true,2
APP_MOCK_010,DOUBLE_BLIND,LLM_DISAGREEMENT,false,2
APP_MOCK_011,SINGLE_VISIBLE_REVIEW,LLM_CONSENSUS_NOT_AUDIT,false,1
APP_MOCK_012,DOUBLE_BLIND,LLM_INVALID,false,2
